"Date","Vendor Name","Bill Number/Invoice Number","Bill Amount","Cash Paid","Online Paid ","Owner Paid","Due","Date of Purchase","Date of Bill Clear","Note/Remarks","Invoice Picture"
"25/04/2026","P G ENTERPRISE","1590","291","291","","","","25/04/2026","25/04/2026","",""
"25/04/2026","SARADA FOOD MART","SCP/26-27/717","720","720","","","","25/04/2026","29/04/2026","",""
"25/04/2026","SUTRADHAR EXPORT& IMPORT","560","967","967","","","","25/04/2026","25/04/2026","",""
"25/04/2026","COOCH BEHAR BAZAAR ( ONLINE PRODUT)","","1353","","","1353","","25/04/2026","25/04/2026","",""
"26/04/2026","M/S BASAK ENTERPRISE","A000244","1560","1560","","","","26/04/2026","26/04/2026","",""
"27/04/2026","P G ENTERPRISE","1791","767","767","","","","27/04/2026","27/04/2026","",""
"27/04/2026","COOCH BEHAR BAZAAR (MOTHER`S PICKEL , GINGAR GARLIK PAST)","","638","638","","","","27/04/2026","27/04/2026","",""
"27/04/2026","GOURI SHANKAR AGENCY","FSL424171","1589","1589","","","","27/04/2026","02/05/2026","",""
"27/04/2026","SUTRADHAR EXPORT & IMPORT","331","235","235","","","","27/04/2026","27/04/2026","",""
"27/04/2026","COOCH BEHAR BAZAAR (ONLINE PRODUCT)","","164","","","164","","27/04/2026","27/04/2026","",""
"27/04/2026","COOCH BEHAR BAZAAR (ALO FRUT)","","980","980","","","","27/04/2026","27/04/2026","",""
"27/04/2026","COOCH BEHAR BAZAAR ( DIM)","","360","360","","","","27/04/2026","27/04/2026","",""
"27/04/2026","SHILPI FOOD AND SPICES ","","2436","","","2436","","27/04/2026","27/04/2026","",""
"28/04/2026","P G ENTERPRISE","1173","204","204","","","","28/04/2026","28/04/2026","",""
"28/04/2026","SOYETA TRADING CO.","GTF08272","873","873","","","","28/04/2026","28/04/2026","",""
"28/04/2026","GOURI SANKAR ASSOCIATES ","I/26-27/006991","495","495","","","","28/04/2026","04/05/2026","",""
"28/04/2026","SAHA  AGENCY","32040","3458","3458","","","","28/04/2026","28/04/2026","",""
"28/04/2026","GOURI SANKAR ASSOCIATES","I/26-27/006696","638","638","","","","28/04/2026","09/05/2026","",""
"28/04/2026","JOYGURU ENTERPRISE","81","688","688","","","","28/04/2026","28/04/2026","",""
"28/04/2026","AALEKHAYA ASSOCIATES ","A260001251","2078","2078","","","","28/04/2026","04/05/2026","",""
"29/04/2026","P G ENTERPRISE","1847","276","276","","","","29/04/2026","29/04/2026","",""
"29/04/2026","P.K. ENTERPRISE","26-27/227","4397","","","4397","","29/04/2026","29/04/2026","",""
"29/04/2026","COOCH BEHAR BAZAAR","","5380","","","5380","","29/04/2026","29/04/2026","",""
"29/04/2026","PRAN","59","1122","899","","223","","29/04/2026","29/04/2026","",""
"29/04/2026","SANAJAY SALES AGENCIES","26-27/SSA-803","1793","1793","","","","29/04/2026","29/04/2026","",""
"29/04/2026","COOCH BEHAR BAZAAR(KALA JERA, PAPAD)","57","910","910","","","","29/04/2026","29/04/2026","",""
"29/04/2026","COOCH BEHAR BAZAAR (DIM)","","360","360","","","","29/04/2026","29/04/2026","",""
"30/04/2026","P G ENTERPRISE","1918","895","895","","","","30/04/2026","30/04/2026","",""
"30/04/2026","COOCH BEHAR BAZAAR ( AMUL MILK )","17","4250","","","4250","","30/04/2026","30/04/2026","",""
"30/04/2026","SARADA FOOD MART","SCP/26-27/962","1569","1569","","","","30/04/2026","06/05/2026","",""
"01/05/2026","P G ENTERPRISE","1982","316","316","","","","01/05/2026","01/05/2026","",""
"01/05/2026","COOCH BEHAR ( TATA GLUCO)","","190","190","","","","01/05/2026","01/05/2026","",""
"01/05/2026","SUTRADHAR EXPORT &  IMPORT","574","1450","1450","","","","01/05/2026","01/05/2026","",""
"01/05/2026","COOCH BEHAR BAZAAR ( MURI)","","750","750","","","","01/05/2026","01/05/2026","",""
"01/05/2026","PAUL & SONS","1466","1464","1464","","","","01/05/2026","01/05/2026","",""
"02/05/2026","P G ENTERPRISE","2357","61.5","61.5","","","","02/05/2026","05/05/2026","",""
"02/05/2026","SHILPI FOOD AND SPICES ","","4213","","","4213","","02/05/2026","02/05/2026","",""
"02/05/2026","SOYETA TRADING CO","GTF09459","2532","2532","","","","02/05/2026","02/05/2026","",""
"02/05/2026","COOCH BEHAR BAZAAR ( VINEGAR,RAFFELO,PAPAD,OIL,CHIA SEED)","","5195","5195","","","","02/05/2026","02/05/2026","",""
"02/05/2026","SUTRADHAR EXPORT & IMPORT","268","315","315","","","","02/05/2026","02/05/2026","",""
"03/05/2026","COOCH BEHAR BAZAAR ( VICKS INHALER )","","320","320","","","","03/05/2026","03/05/2026","",""
"04/05/2026","GOURI SHANKAR AGENCY","FSL425025","4881","4881","","","","04/05/2026","09/05/2026","",""
"04/05/2026","GOURI SANKAR AGENCY  ","HAL/26-27/00571","2462","2462","","","","04/05/2026","09/05/2026","",""
"03/05/2026","SHILPI FOOD AND SPICES","","1206","","","1206","","03/05/2026","03/05/2026","",""
"04/05/2026","SHILPI FOOD AND SPICES","","525","","","525","","04/05/2026","04/05/2026","",""
"05/05/2026","P G ENTERPRISE","2240","392","392","","","","05/05/2026","05/05/2026","",""
"05/05/2026","COOCH BEHAR BAZAAR ( OIL, DIM)","","7496","7496","","","","05/05/2026","05/05/2026","",""
"05/05/2026","PAUL & SONS","1583","720","720","","","","05/05/2026","05/05/2026","",""
"05/05/2026","SANJAY SALES AGENCIES","26-27/SSA-975","445","445","","","","05/05/2026","05/05/2026","",""
"05/05/2026","NABHO BAZAAR ","","586","","","586","","05/05/2026","05/05/2026","",""
"05/05/2026","AALEKHYA ASSOCIATES ","A260001619","1206","1206","","","","05/05/2026","11/05/2026","",""
"05/05/2026","COOCH BEHAR BAZAAR ( AMUL DUDH, BATAR,CHEESE)","","1719","1719","","","","05/05/2026","05/05/2026","",""
"06/05/2026","P G ENTERPRISE","2325","92","92","","","","06/05/2026","06/05/2026","",""
"06/05/2026","GOURI SANKAR ASSOCIATES ","I/26-27/008556","2939","2939","","","","06/05/2026","11/05/2026","",""
"06/05/2026","SOYETA TRADING CO ","GTF11125","5018","5018","","","","06/05/2026","06/05/2026","",""
"06/05/2026","COOCH BEHAR BAZAAR ( ONLINE PRODUT)","","805","","","805","","06/05/2026","06/05/2026","",""
"06/05/2026","NYKAA E - RETAIL LIMITED ( SUPER STORE )","NYK-350381867-1306622-1","6271","","","6271","","06/05/2026","06/05/2026","",""
"07/05/2026","P G ENTERPRISE","2386","203","203","","","","07/05/2026","07/05/2026","",""
"07/05/2026","NEW ICE BAR","IB/26-27/2121","4020","4020","","","","07/05/2026","07/05/2026","",""
"07/05/2026","GOURI SANKAR ASSOCIATES ","I/26-27/008759","3621","3621","","","","07/05/2026","12/05/2026","",""
"07/05/2026","GOURI SANKAR ASSOCIATES ","I/26-27/008755","454","454","","","","07/05/2026","07/05/2026","",""
"07/05/2026","COOCH BEHAR BAZAAR (ONLINE PRODUCT)","","852","","","852","","07/05/2026","07/05/2026","",""
"07/05/2026","COOCH BEHAR BAZAAR ( DIM ,NAKUL DANA, BATASHA,KISMIS)","","970","970","","","","07/05/2026","07/05/0206","",""
"08/05/2026","P G ENTERPRISE","2517","217","217","","","","08/05/2026","08/05/2026","",""
"08/05/2026","COOCH BEHAR BAZAAR ( ONLINE PRODUT)","","943","","","943","","08/05/2026","08/05/2026","",""
"08/05/2026","SARADA FOOD MART","SCP/26-27/1210","1428","1428","","","","08/05/2026","13/05/2026","",""
"08/05/2026","AMBO RETAIL INDIA LIMITED ","24461","460","460","","","","08/05/2026","08/05/2026","",""
"08/05/2026","COOCH BEHAR BAZAAR ( AMUL KOOL, KAJU KATRI ,TRU )","","1404","1404","","","","08/05/2026","08/05/2026","",""
"08/05/2026","SUTRADHAR EXPORT&IMPORT","583","725","725","","","","08/05/2026","08/05/2026","",""
"09/05/2026","SOYETA TRADING CO","GTF12330","797","797","","","","09/05/2026","09/05/2026","",""
"09/05/2026","COOCH BEHAR BAZAAR ( ONLINE PRODUT)","","405","","","405","","09/05/2026","09/05/2026","",""
"09/05/2026","COOCH BEHAR BAZAAR ( DIM,MURI)","","1000","1000","","","","09/05/2026","09/05/2026","",""
"11/05/2026","SOYETA TRADAES CO","","3273","3273","","","","11/05/2026","11/05/2026","",""
"11/05/2026","GOURI SHANKAR AGENCY","FSL425917","6869","","","6869","","11/05/2026","16/05/2026","",""
"11/05/2026","SAHA AGENCY ","333160","990","990","","","","11/05/2026","11/05/2026","",""
"11/05/2026","ANIL TRADERS ","AT/0229/26-27","3594","3594","","","","11/05/2026","11/05/2026","",""
"11/05/2026","N BISWAS&CHOWDHURY","311","6119","","","6119","","11/05/2026","16/05/2026","",""
"11/05/2026","P G ENTERPRISE","2707","318","318","","","","11/05/2026","11/05/2026","",""
"11/05/2026","COOCH BEHAR BAZAAR ( RICE)","","7215","","","7215","","11/05/2026","11/05/2026","",""
"12/05/2026","SOYETA TRADING CO.","GTF13215","1887","1887","","","","12/05/2026","12/05/2026","",""
"12/05/2026","COOCHH BEHAR BAZAAR ( ONLINE PRODUCT)","","148","","","148","","12/05/2026","12/05/2026","",""
"12/05/2026","JOYGURU ENTERPRISE","30","1189","","","1189","","12/05/2026","12/05/2026","",""
"12/05/2026","AALEKHAYA ASSOCIATES ","A260001945","1967","1967","","","","12/05/2026","18/05/2026","",""
"12/05/2026","SUTRADHAR EXPORT & IMPORT","591","600","600","","","","12/05/2026","12/05/2026","",""
"12/05/2026","AMRITA SALES AGENCY","SIT-436","4040","","","4040","","12/05/2026","12/05/2026","",""
"13/05/2026","P G ENTERPRISE","2820","1258","1258","","","","13/05/2026","13/05/2026","",""
"13/05/2026","BRIJ MOHAN & CO.","CASH/01052","10140","","","10140","","13/05/2026","13/05/2026","",""
"13/05/2026","COOCH BEHAR BAZAAR ( ONLINE PRODUT)","","1988","","","1988","","13/05/2026","13/05/2026","",""
"13/05/2026","COOCH BEHAR BAZAAR ( ONLINE PRODUT)","","540","","","540","","13/05/2026","13/05/2026","",""
"13/05/2026","NABHO BAZAAR ","","656","","","656","","13/05/2026","13/05/2026","",""
"14/05/2026","COOCH BEHAR BAZAAR ( GHEE, KINDERJOY, RAFEELO)","","1238","1238","","","","14/05/2026","14/05/2026","",""
"14/05/2026","M/S PAUL & SONS","2029","2491","2491","","","","14/05/2026","14/05/2026","",""
"14/05/2026","SAHA AGENCY ","33421","256","256","","","","14/05/2026","14/05/2026","",""
"14/05/2026","NEW ICE BAR","IB/26-27/2562","814","814","","","","14/05/2026","14/05/2026","",""
"14/05/2026","SARADA FOOD MART","SCP/26-27/1517","1271","1271","","","","14/05/2026","20/05/2026","",""
"14/05/2026","GOURI SANKAR ASSOCIATES ","I/26-27/010443","715","715","","","","14/05/2026","18/05/2026","",""
"14/05/2026","COOCH BEHAR BAZAAR (ONLINE PRODUCT)","","812","","","812","","14/05/2026","14/05/2026","",""
"15/05/2026","P G ENTERPRISE","2933","238","238","","","","15/05/2026","16/05/2026","",""
"15/05/2026","NABHO BAZAAR ","","1245","","","1245","","15/05/2026","15/05/2026","",""
"15/05/2026","COOCH BEHAR BAZAAR (JARU)","","498","498","","","","15/05/2026","15/05/2026","",""
"15/05/2026","COOCH BEHAR BAZAAR ( SALONI, SUGAR FREE, DIM)","","3800","3800","","","","15/05/2026","15/05/2026","",""
"15/05/2026","SANJAY SALES AGENCIES","26-27/SSA-1333","2058","2058","","","","15/05/2026","15/05/2026","",""
"15/05/2026","COOCH BEHAR BAZAAR (ONLINE PRODUCT)","","589","","","589","","15/05/2026","15/05/2026","",""
"16/05/2026","P G ENTERPRISE ","3857","96","96","","","","16/05/2026","16/05/2026","",""
"16/05/2026","COOCH BEHAR BAZAAR (PAMPERS,GILLETTE ,WHISPER)","","1357","1357","","","","16/05/2026","16/05/2026","",""
"16/05/2026","COOCH BEHAR BAZAAR ( ONLINE PRODUT)","","1762","","","1762","","16/05/2026","16/05/2026","",""
"16/05/2026","COOCH BEHAR BAZAAR ( PICKLE,PAPAD,GARLIK PAST)","","1556","1556","","","","16/05/2026","16/05/2026","",""
"16/05/2026","COOCH BEHAR BAZAAR (SUGAR)","","2260","2260","","","","16/05/2026","16/05/2026","",""
"17/05/2026","P G ENTERPRISE","3883","297","297","","","","17/05/2026","17/05/2026","",""
"17/05/2026","COOCH BEHAR BAZAAR (ONLINE PRODUCT)","","3598","","","3598","","17/05/2026","17/05/2026","",""
"17/05/2026","P G ENTERPRISE","","297","297","","","","17/05/2026","17/05/2026","",""
"18/05/2026","COOCH BEHAR BAZAAR (ONLINE PRODUCT)","","793","","","793","","18/05/2026","18/05/2026","",""
"18/05/2026","P G ENTERPRISE","3948","119","119","","","","18/05/2026","18/05/2026","",""
"18/05/2026","GOURI SHANKAR AGENCY","HAL/26-27/00812","1712","","","1712","","18/05/2026","23/05/2026","",""
"18/05/2026","PRAN","91","1462","1462","","","","18/05/2026","18/05/2026","",""
"18/05/2026","JOYGURU ENTERPRISE ","9","893","893","","","","18/05/2026","18/05/2026","",""
"18/05/2026","NABHO BAZAAR ","","1046","","","1046","","18/05/2026","18/05/2026","",""
"18/05/2026","N BISWAS & CHOWDHURY ","370","2118","2118","","","","18/05/2026","18/05/2026","",""
"19/05/2026","P G ENTERPRISE ","4003","1316","1316","","","","19/05/2026","19/05/2026","",""
"19/05/2026","COOCH BEHAR BAZAAR (ONLINE PRODUCT)","","810","","","810","","19/05/2026","19/05/2026","",""
"19/05/2026","COOCH BEHAR BAZAAR (DIM) ","","380","380","","","","19/05/2026","19/05/2026","",""
"19/05/2026","SOYETA TRADING CO","GTF16920","1826","1826","","","","19/05/2026","19/05/2026","",""
"19/05/2026","GOURI SANKAR ASSOCIATES ","I/26-27/011840","2515","","","2515","","19/05/2026","23/05/2026","",""
"19/05/2026","AALEKHYA ASSOCIATES ","A260002298","1102","1102","","","","19/05/2026","25/05/2026","",""
"19/05/2026","AMRITA SALES AGENCY","SIT-512","893","893","","","","19/05/2026","19/05/2026","",""
"20/05/2026","COOCH BEHAR BAZAAR ( KOLKATA PRODACT)","","3120","","","3120","","20/05/2026","20/05/2026","",""
"20/05/2026","DAYAL ENTERPRISE ","DE_012600995","2432","2432","","","","20/05/2026","20/05/2026","",""
"20/05/2026","DAYAL ENTERPRISE ","","1553","1553","","","","20/05/2026","20/05/2026","",""
"20/05/2026","APARNA ENTERPRISE ","R001071","777","777","","","","20/05/2026","01/06/2026","",""
"20/05/2026","APARNA ENTERPRISE ","R001069","3044","","","3044","","20/05/2026","26/05/2026","",""
"20/05/2026","GOURI SHANKAR AGGENCY","FSL426769","7753","","","7753","","20/05/2026","23/05/2026","",""
"20/05/2026","GOURI SANKAR ASSOCIATES","I/26-27/012110","652","652","","","","20/05/2026","25/05/2026","",""
"20/05/2026","NABHO BAZAAR ","","264","","","264","","20/05/2026","20/05/2026","",""
"20/05/2026","COOCH BEHAR BAZAAR ( SATTO)","","1550","1550","","","","20/05/2026","20/05/2026","",""
"20/05/2026","JAISWAL AGENCY","GST001522","4140","4140","","","","20/05/2026","21/05/2026","",""
"21/05/2026","NABHO BAZAAR ","","2775","","","2775","","21/05/2026","21/05/2026","",""
"21/05/2026","P G ENTERPRISE ","4082","127","127","","","","21/05/2026","21/05/2026","",""
"21/05/2026","COOCH BEHAR BAZAAR ( ONLINE PRODUT)","","276","","","276","","21/05/2026","21/05/2026","",""
"20/05/2026","NEW ICE BAR","IB/26-27/2942","2134","2134","","","","21/05/2026","21/05/2026","",""
"21/05/2026","SARADA FOOD MART","SCP/26-27/1737","603","603","","","","21/05/2026","27/05/2026","",""
"21/05/2026","COOCH BEHAR BAZAAR (PAPAD,ROCHER)","36","1600","1600","","","","21/05/2026","21/05/2026","",""
"21/05/2026","COOCH BEHAR BAZAAR (DIM,MURI)","","1300","1300","","","","21/05/2026","21/05/2026","",""
"22/05/2026","P G ENTERPRISE","4129","266","266","","","","22/05/2026","22/05/2026","",""
"22/05/2026","NABHO BAZAAR ","","128","","","128","","22/05/2026","22/05/2026","",""
"22/05/2026","COOCH BEHAR BAZAAR ( ONLINE PRODUCT)","","1474","","","1474","","22/05/2026","22/05/2026","",""
"22/05/2026","SOYETA TRADING CO.","GTF19834","1152","1152","","","","22/05/2026","22/05/2026","",""
"22/05/2026","SUTRADHAR EXPORT AND IMPORT","708","674","674","","","","22/05/2026","22/05/2026","",""
"22/05/2026","LAXMI TRADERS","JJGST2600480","530","530","","","","22/05/2026","22/05/2026","",""
"22/05/2026","LAXMI TRADERS","BOS2600475","1868","1868","","","","22/05/2026","22/05/2026","",""
"23/05/2026","SANJAY SALES AGENCIES","20","9087","9087","","","","23/05/2026","23/05/2026","",""
"23/05/2026","P G ENTERPRISE","4179","562","562","","","","23/05/2026","23/05/2026","",""
"23/05/2026","COOCH BEHAR BAZAAR (SATTO)","A035","230","230","","","","23/05/2026","23/05/2026","",""
"23/05/2026","COOCH BEHAR BAZAAR ( ONLINE PRODUCT)","","3793","","","3793","","23/05/2026","23/05/2026","",""
"23/05/2026","COOCH BEHAR BAZAAR(DIM)","","360","360","","","","23/05/2026","23/05/2026","",""
"24/05/2026","P G ENTERPRISE ","4205","939","939","","","","24/05/2026","24/05/2026","",""
"24/05/2026","NABHO BAZAAR ","","1148","","","1148","","24/05/2026","24/05/2026","",""
"24/05/2026","COOCH BEHAR BAZZAR (ONLINE PRODUCT)","1792","","","","1792","","24/05/2026","24/05/2026","",""
"24/05/2026","COOCH BEHAR BAZZAR (KINDERJOY)  ","","360","360","","","","24/05/2026","24/05/2026","",""
"25/05/2026","P G ENTERPRISE ","4249","187","187","","","","25/05/2026","26/05/2026","",""
"25/05/2026","COOCH BEHAR BAZAAR ( ONLINE PRODUCT)","","286","","","286","","25/05/2026","25/05/2026","",""
"25/05/2026","GOURI SHANKAR AGENCY","FSL427564","5620","","","5620","","25/05/2026","30/05/2026","",""
"25/05/2026","AALEKHYA ASSOCIATES ","A260002611","1356","1356","","","","25/05/2026","01/06/2026","",""
"25/05/2026","GOURI SANKAR ASSOCIATES","I/26-27/013613","605","605","","","","25/05/2026","30/05/2026","",""
"26/05/2026","NABHO BAZAAR ","","652","","","652","","26/05/2026","26/05/2026","",""
"26/05/2026","SOYETA TRADING CO","GTF20924","8424","8424","","","","26/05/2026","26/05/2026","",""
"26/05/2026","JOYGURU ENTERPRISE ","12","2239","","","2239","","26/05/2026","26/05/2026","",""
"26/05/2026","AMRITA SALES AGENCY","SIT-588","1264","1264","","","","26/05/2026","26/05/2026","",""
"27/05/2026","P G ENTERPRISE ","4319","244","244","","","","27/05/2026","27/05/2026","",""
"27/05/2026","COOCH BEHAR BAZZAR (ONLINE PRODUCT)","","1720","","","1720","","27/05/2026","27/05/2026","",""
"29/05/2026","COOCH BEHAR BAZAAR(ONLINE PRODUCT)","","4877","","","4877","","29/05/2026","29/05/2026","",""
"29/05/2026","SARADA FOOD MARD ","SCP/26-27/1986","1207","1207","","","","29/05/2026","03/06/2026","",""
"29/05/2026","SUTRADHAR EXPORT & IMPORT","725","700","700","","","","29/05/2026","29/05/2026","",""
"29/05/2026","COOCH BEHAR BAZZAR ( DIM)","","720","720","","","","29/05/2026","29/05/2026","",""
"30/05/2026","P G ENTERPRISE","4506","1271","1271","","","","30/05/2026","30/05/2026","",""
"30/05/2026","SANJAY SALES AGENCIES","25","5855","5855","","","","30/05/2026","30/05/2026","",""
"30/05/2026","COOCH BEHAR BAZZAR ( ONLINE PRODUCT)","","939","","","939","","30/05/2026","30/05/2026","",""
"30/05/2026","NEW ICE BAR","IB/26-27/3539","2963","2963","","","","30/05/2026","30/05/2026","",""
"30/05/2026","COOCH BEHAR BAZZAR ","6","450","450","","","","30/05/2026","30/05/2026","",""
"30/05/2026","SHARMA & SONS ","9","747","747","","","","30/05/2026","30/05/2026","",""
"30/05/2026","MURLI BHANDAR ","551","9974","","","9974","","30/05/2026","30/05/2026","",""
"31/05/2026","P G ENTERPRISE","3615","190","190","","","","31/05/2026","31/05/2026","",""
"31/05/2026","NABHO BAZAAR ","","3169","","","3169","","31/05/2026","31/05/2026","",""
"01/06/2026","P G ENTERPRISE","9423","307","307","","","","01/06/2026","01/06/2026","",""
"01/06/2026","COOCH BEHAR BAZZAR ( ONLINE PRODUCT)","","1405","","","1405","","01/06/2026","01/06/2026","",""
"01/06/2026","GOURI SANKAR AGENCY  ","HAL/26-27/01037","1025","","","","1025","01/06/2026","","",""
"01/06/2026","GOURI SHANKAR AGENCY","FSL428323","2197","","","","2197","01/06/2026","","",""
"01/06/2026","JOYGURU ENTERPRISE","","1620","1620","","","","01/06/2026","01/06/2026","",""
"01/06/2026","N BISWAS & CHOWDHURY ","496","5959","5959","","","","01/06/2026","03/06/2026","",""
"01/06/2026","COOCH BEHAR BAZAAR (OIL)","","23450","","","23450","","01/06/2026","01/06/2026","",""
"01/06/2026","COOCH BEHAR BAZAAR( GHEE,RAFELO,KINDERJOY)","","4535","4535","","","","01/06/2026","01/06/2026","",""
"01/06/2026","ANIL TRADERS ","AT/0378/26-27","4971","4971","","","","01/06/2026","02/06/2026","",""
"02/06/2026","NYKAA E - RETAIL LIMITED ( SUPER STORE )","NYD006558854","3915","","","3915","","02/06/2026","02/06/2026","",""
"02/06/2026","MAA OSIYA COMMUNICATION ","271","450","450","","","","02/06/2026","02/06/2026","",""
"02/06/2026","APARNA ENTERPRISE ","R001318","1144","","","","1144","02/06/2026","","",""
"02/06/2026","SOYETA TRADING CO","GTF23263","4884","","","4884","","02/06/2026","02/06/2026","",""
"02/06/2026","AALEKHAYA ASSOCIATES ","A260002985","3971","","","","3971","02/06/2026","","",""
"02/06/2026","BALADEB GROCERIES","57","3590","3590","","","","02/06/2026","03/06/2026","",""
"02/06/2026","MURLI BHANDAR ","MB/1417","1771","","","","1771","02/06/2026","","",""
"03/06/2026","P G ENTERPRISE ","9504","556","556","","","","03/06/2026","03/06/2026","",""
"03/06/2026","GOURI SANKAR ASSOCIATES","I/26-27/015689","1867","","","","1867","03/06/2026","","",""
"03/06/2026","SHILPI FOOD AND SPICES ","","658","","","658","","03/06/2026","03/06/2026","",""
"03/06/2026","COOCH BEHAR BAZZAR ( ONLINE PRODUCT)","","1212","","","1212","","03/06/2026","03/06/2026","",""
"03/06/2026","COOCH BEHAR BAZZAR ( MURI , DIM, NOKUL DANA , BATTERY ETC)","NB01","2100","2100","","","","03/06/2026","03/06/2026","",""
"04/06/2026","P G ENTERPRISE ","9562","1010","","","","1010","04/06/2026","","",""
