"Date","Vendor Name","Bill Number/Invoice Number","Bill Amount","Cash Paid","Online Paid ","Owner Paid","Due","Date of Purchase","Date of Bill Clear","Note/Remarks","Invoice Picture"
"16/02/2026","BARNWAL AGENCY","A006000","1806","1806","","","","16/02/2026","16/02/2026","",""
"16/02/2026","M/S. AKS AGENCY ","4811","5110","5110","","","","16/02/2026","16/02/2026","",""
"16/02/2026","SOYETA TRADING CO","GTE73925","997","997","","","","16/02/2026","16/02/2026","",""
"17/02/2026","AMRITA SALES AGENCY","SIT-3810","4202","","","4202","","17/02/2026","17/02/2026","UNCLE SEND RUBEL 6000",""
"17/02/2026","GOURI SANKAR ASSOCIATES","I/25-26/074401","2709","2709","","","","17/02/2026","17/02/2026","",""
"17/02/2026","N. BISWAS & CHOWDHURY","2569","4322","4322","","","","17/02/2026","17/02/2026","",""
"17/02/2026","COOCH BEHAR BAZAAR  ( KELLOGGS)","","2400","","","2400","","17/02/2026","17/02/2026","",""
"18/02/2026","KOLKATA DAL ","","32084","","","32084","","18/02/2026","18/02/2026","",""
"18/02/2026","KOLKATA MASALA ","","45530","","","45530","","18/02/2026","18/02/2026","",""
"18/02/2026","M/S . THAKUR TRADERS ","158","4720","","","4720","","18/02/2026","18/02/2026","",""
"18/02/2026","SUPER STORE BY NYKAA","NYD005880000","4928","","","4928","","18/02/2026","18/02/2026","",""
"19/02/2026","KOLKATA KHEJUR","","2480","","","2480","","19/02/2026","19/02/2026","",""
"19/02/2026","SAHA AGENCY ","9955","771","771","","","","19/02/2026","19/02/2026","",""
"19/02/2026","SOYETA TRADING CO","GTE77675","542","542","","","","19/02/2026","19/02/2026","",""
"21/01/2026","GOURI SANKAR ASSOCIATES","I/25-26/068629","18759","18759","","","","21/01/2026","21/02/2026","",""
"21/02/2026","GOURI SHANKAR AGENCY ","FSL417059","1626","1626","","","","21/02/2026","28/02/2026","",""
"21/02/2026","N. BISWAS & CHOWDHURY","2604","2029","","","2029","","21/02/2026","21/02/2026","UNCLE SEND RUBEL 3000",""
"22/02/2026","SAHA AGENCY ( COCA-COLA)","","13835","","","13835","","22/02/2026","22/02/2026","",""
"23/02/2026","AALEKHYA ASSOCIATES ","A256003347","1713","1713","","","","23/02/2026","02/03/2026","",""
"23/02/2026","BEKARI ITEMS","","1260","1260","","","","23/02/2026","23/02/2026","",""
"23/02/2026","GOURI SANKAR ASSOCIATES","I/25-26/075872","1423","1423","","","","23/02/2026","02/03/2026","",""
"23/02/2026","COOCH BEHAR BAZAAR  ","","7475","","","7500","","23/02/2026","23/02/2026","",""
"23/02/2026","SOYETA TRADING CO","GTE79072","830","830","","","","23/02/2026","24/02/2026","",""
"24/02/2026","AMRITA SALES AGENCY","SIT-3903","311","311","","","","24/02/2026","24/02/2026","",""
"24/02/2026","APARNA AGENCY ","R003223","1706","","","1706","","24/02/2026","24/02/2026","",""
"24/02/2026","APARNA ENTERPRISE ","R007580","696","","","696","","24/02/2026","24/02/2026","",""
"24/02/2026","NEW ICE BAR","GST/25-26/14411","956","","","956","","24/02/2026","24/02/2026","",""
"24/02/2026","NYKAA E- RETAIL LIMITED","NYD005924403","3276","","","3276","","24/02/2026","27/02/2026","",""
"24/02/2026","PRAN","","1496","","","1496","","24/02/2026","24/02/2026","",""
"24/02/2026","PROBHUJI ","","1770","1770","","","","24/02/2026","24/02/2026","",""
"24/02/2026","SAMRAT GUPTA CHAUDHURY","A000512","2100","","","2100","","24/02/2026","24/02/2026","",""
"24/02/2026","SUTRADHAR EXPORT & IMPORT","430","1115","1115","","","","24/02/2026","24/02/2026","",""
"25/02/2026","BARNWAL AGENCY","A006177","4572","4572","","","","25/02/2026","25/02/2026","",""
"25/02/2026","BEKARI ITEMS","","233","233","","","","25/02/2026","25/02/2026","",""
"25/02/2026","PROBHUJI ","","141","141","","","","25/02/2026","25/02/2026","",""
