"Date","Time","Type","Reference No","Discription","Cash IN","Cash Out","UPI IN","UPI OUT","Running Cash Balance","Running UPI Balance","Total Available (Cash+UPI)","","","","","","","","","","","","","",""
"25.05.2026","11:58:56","Vendor Payment-Cash","I/26-27/012110","GOURI SANKAR ASSOCIATES","","652.00","","","11,536.00","382,589.00","394,125.00","","","","","","","","","","","","","",""
"25.05.2026","12:00:09","Expense","","PAKEGIN PLASTIC ","","70.00","","","11,466.00","382,589.00","394,055.00","","","","","","","","","","","","","",""
"25.05.2026","12:36:52","Vendor Payment-Cash","A260002298","AALEKHYA ASSOCIATES","","1,102.00","","","10,364.00","382,589.00","392,953.00","","","","","","","","","","","","","",""
"25.05.2026","22:10:15","Sale-Cash","","","5,247.00","","","","15,611.00","382,589.00","398,200.00","","","","","","","","","","","","","",""
"25.05.2026","22:10:17","Sale-UPI","","","","","2,263.00","","15,611.00","384,852.00","400,463.00","","","","","","","","","","","","","",""
"26.05.2026","11:43:03","Opening Balance","","","","","","","15,611.00","384,852.00","400,463.00","","","","","","","","","","","","","",""
"26.05.2026","11:43:34","Vendor Payment-Cash","GTF20924","SOYTA TRADING CO ","","8,424.00","","","7,187.00","384,852.00","392,039.00","","","","","","","","","","","","","",""
"26.05.2026","11:44:38","Expense","","BLADE ","","100.00","","","7,087.00","384,852.00","391,939.00","","","","","","","","","","","","","",""
"26.05.2026","21:43:31","Vendor Payment-Cash","SIT-588","AMRITA SALES AGENCY ","","1,264.00","","","5,823.00","384,852.00","390,675.00","","","","","","","","","","","","","",""
"26.05.2026","22:09:55","Vendor Payment-Cash","4249","P G ENTERPRISE","","187.00","","","5,636.00","384,852.00","390,488.00","","","","","","","","","","","","","",""
"26.05.2026","22:12:58","Sale-Cash","","","3,218.00","","","","8,854.00","384,852.00","393,706.00","","","","","","","","","","","","","",""
"26.05.2026","22:12:59","Sale-UPI","","","","","7,385.00","","8,854.00","392,237.00","401,091.00","","","","","","","","","","","","","",""
"27.05.2026","09:24:46","Opening Balance","","","","","","","8,854.00","392,237.00","401,091.00","","","","","","","","","","","","","",""
"27.05.2026","10:50:25","Vendor Payment-Cash","SCP/26-27/1737","SARADA FOOD MARAT","","603.00","","","8,251.00","392,237.00","400,488.00","","","","","","","","","","","","","",""
"27.05.2026","21:08:18","Vendor Payment-Cash","4319","P G ENTERPRISE","","244.00","","","8,007.00","392,237.00","400,244.00","","","","","","","","","","","","","",""
"27.05.2026","21:11:49","Sale-Cash","","","3,936.00","","","","11,943.00","392,237.00","404,180.00","","","","","","","","","","","","","",""
"27.05.2026","21:11:50","Sale-UPI","","","","","2,652.00","","11,943.00","394,889.00","406,832.00","","","","","","","","","","","","","",""
"29.05.2026","11:19:02","Opening Balance","","","","","","","11,943.00","394,889.00","406,832.00","","","","","","","","","","","","","",""
"29.05.2026","18:43:59","Vendor Payment-Cash","725","SUTRADHAR EXPORT & IMPORT","","700.00","","","11,243.00","394,889.00","406,132.00","","","","","","","","","","","","","",""
"29.05.2026","19:09:08","Vendor Payment-Cash","","COOCH BEHAR ( DIM)","","720.00","","","10,523.00","394,889.00","405,412.00","","","","","","","","","","","","","",""
"29.05.2026","22:04:38","Sale-Cash","","","4,170.00","","","","14,693.00","394,889.00","409,582.00","","","","","","","","","","","","","",""
"29.05.2026","22:04:40","Sale-UPI","","","","","9,869.00","","14,693.00","404,758.00","419,451.00","","","","","","","","","","","","","",""
"30.05.2026","09:17:03","Opening Balance","","","","","","","14,693.00","404,758.00","419,451.00","","","","","","","","","","","","","",""
"30.05.2026","11:46:10","Vendor Payment-Cash","25","SANJAY SALE AGENCIEY","","5,855.00","","","8,838.00","404,758.00","413,596.00","","","","","","","","","","","","","",""
"30.05.2026","12:25:02","Vendor Payment-Cash","I/26-27/013613","GOURI SANKAR ASSOCIATES","","605.00","","","8,233.00","404,758.00","412,991.00","","","","","","","","","","","","","",""
"30.05.2026","15:00:00","Vendor Payment-Cash","IB/26-27/3539","NEW ICE BAR","","2,963.00","","","5,270.00","404,758.00","410,028.00","","","","","","","","","","","","","",""
"30.05.2026","16:23:42","Vendor Payment-Cash","6","COOCH BEHAR BAZZAR ","","450.00","","","4,820.00","404,758.00","409,578.00","","","","","","","","","","","","","",""
"30.05.2026","16:50:27","Vendor Payment-Cash","9","SHARMA & SONS ","","747.00","","","4,073.00","404,758.00","408,831.00","","","","","","","","","","","","","",""
"30.05.2026","19:51:48","Vendor Payment-Cash","4506","P G ENTERPRISE","","1,271.00","","","2,802.00","404,758.00","407,560.00","","","","","","","","","","","","","",""
"30.05.2026","22:07:07","Expense","","CHARITY","","15.00","","","2,787.00","404,758.00","407,545.00","","","","","","","","","","","","","",""
"30.05.2026","22:16:17","Sale-Cash","","","7,639.00","","","","10,426.00","404,758.00","415,184.00","","","","","","","","","","","","","",""
"30.05.2026","22:16:19","Sale-UPI","","","","","3,795.00","","10,426.00","408,553.00","418,979.00","","","","","","","","","","","","","",""
"31.05.2026","09:40:44","Opening Balance","","","","","","","10,426.00","408,553.00","418,979.00","","","","","","","","","","","","","",""
"31.05.2026","18:30:21","Vendor Payment-Cash","3615","P G ENNTERPRISE","","190.00","","","10,236.00","408,553.00","418,789.00","","","","","","","","","","","","","",""
"31.05.2026","22:25:32","Sale-Cash","","","6,846.00","","","","17,082.00","408,553.00","425,635.00","","","","","","","","","","","","","",""
"31.05.2026","22:25:34","Sale-UPI","","","","","5,596.00","","17,082.00","414,149.00","431,231.00","","","","","","","","","","","","","",""
"01.06.2026","09:31:50","Opening Balance","","","","","","","17,082.00","414,149.00","431,231.00","","","","","","","","","","","","","",""
"01.06.2026","12:35:25","Vendor Payment-Cash","A260002611","AALEKHYA ASSOCIATES","","1,356.00","","","15,726.00","414,149.00","429,875.00","","","","","","","","","","","","","",""
"01.06.2026","13:26:56","Vendor Payment-Cash","R001071","APARNA ENTERPRISE","","777.00","","","14,949.00","414,149.00","429,098.00","","","","","","","","","","","","","",""
"01.06.2026","17:15:57","Vendor Payment-Cash","","JOYGURU ENTERPRISE","","1,620.00","","","13,329.00","414,149.00","427,478.00","","","","","","","","","","","","","",""
"01.06.2026","20:34:44","Vendor Payment-Cash","","COOCH BEHAR BAZAAR( GHEE,RAFELO,KINDERJOY)","","4,535.00","","","8,794.00","414,149.00","422,943.00","","","","","","","","","","","","","",""
"01.06.2026","20:35:47","Vendor Payment-Cash","9423","P G ENTERPRISE ","","307.00","","","8,487.00","414,149.00","422,636.00","","","","","","","","","","","","","",""
"01.06.2026","21:41:09","Expense","","TOTO + CHARITY","","120.00","","","8,367.00","414,149.00","422,516.00","","","","","","","","","","","","","",""
"01.06.2026","22:12:30","Sale-Cash","","","3,169.00","","","","11,536.00","414,149.00","425,685.00","","","","","","","","","","","","","",""
"01.06.2026","22:12:31","Sale-UPI","","","","","4,337.00","","11,536.00","418,486.00","430,022.00","","","","","","","","","","","","","",""
"01.06.2026","22:25:38","Closing Balance","","","","","","","11,536.00","418,486.00","430,022.00","","","","","","","","","","","","","",""
"02.06.2026","09:22:57","Opening Balance","","","","","","","11,536.00","418,486.00","430,022.00","","","","","","","","","","","","","",""
"02.06.2026","09:56:39","Vendor Payment-Cash","AT/0378/26-27","ANIL TRADERS","","4,971.00","","","6,565.00","418,486.00","425,051.00","","","","","","","","","","","","","",""
"02.06.2026","12:17:39","Vendor Payment-Cash","271","MAA OSIYA COMMUNICATION","","450.00","","","6,115.00","418,486.00","424,601.00","","","","","","","","","","","","","",""
"02.06.2026","22:12:07","Sale-Cash","","","9,248.00","","","","15,363.00","418,486.00","433,849.00","","","","","","","","","","","","","",""
"02.06.2026","22:12:09","Sale-UPI","","","","","3,813.00","","15,363.00","422,299.00","437,662.00","","","","","","","","","","","","","",""
"02.06.2026","22:17:57","Closing Balance","","","","","","","15,363.00","422,299.00","437,662.00","","","","","","","","","","","","","",""
"03.06.2026","09:29:38","Opening Balance","","","","","","","15,363.00","422,299.00","437,662.00","","","","","","","","","","","","","",""
"03.06.2026","10:12:18","Expense","","AGARBATTI  + CHARITY + MAMO BOOK + TOTO","","160.00","","","15,203.00","422,299.00","437,502.00","","","","","","","","","","","","","",""
"03.06.2026","11:42:37","Vendor Payment-Cash","496","N . BISWAS & CHOWDHURY ","","5,959.00","","","9,244.00","422,299.00","431,543.00","","","","","","","","","","","","","",""
"03.06.2026","11:45:51","Vendor Payment-Cash","SCP/26-27/1986","SARADA FOOD MART","","1,207.00","","","8,037.00","422,299.00","430,336.00","","","","","","","","","","","","","",""
"03.06.2026","19:07:38","Vendor Payment-Cash","9504","P G ENTERPRISE","","556.00","","","7,481.00","422,299.00","429,780.00","","","","","","","","","","","","","",""
"03.06.2026","19:28:41","Vendor Payment-Cash","NB01","COOCH BEHAR BAZZAR ( MURI , DIM, NOKUL DANA , BATTERY ETC)","","2,100.00","","","5,381.00","422,299.00","427,680.00","","","","","","","","","","","","","",""
"03.06.2026","20:48:28","Vendor Payment-Cash","57","BALADEB GROCERIES","","3,590.00","","","1,791.00","422,299.00","424,090.00","","","","","","","","","","","","","",""
"03.06.2026","22:21:49","Sale-Cash","","","12,405.00","","","","14,196.00","422,299.00","436,495.00","","","","","","","","","","","","","",""
"03.06.2026","22:21:52","Sale-UPI","","","","","3,964.00","","14,196.00","426,263.00","440,459.00","","","","","","","","","","","","","",""
"03.06.2026","22:25:18","Closing Balance","","","","","","","14,196.00","426,263.00","440,459.00","","","","","","","","","","","","","",""
"04.06.2026","09:38:00","Opening Balance","","","","","","","14,196.00","426,263.00","440,459.00","","","","","","","","","","","","","",""
